,A,B,C,D,E,F,H,K,L,M,U,V
A,0.0,0.41276497,0.69969153,0.8994565,0.5643116,0.3668625,1.0,0.9918478,0.13810116,0.9810223,0.5992215,0.5966657
B,0.41276497,0.0,0.41562477,0.7394767,0.23957372,0.4812383,0.99168974,0.9861496,0.28206873,0.9697312,0.26967883,0.2534626
C,0.69969153,0.41562477,0.0,0.3694477,0.2599099,0.727027,1.0,0.9972973,0.6184509,0.9864865,0.2054054,0.23243243
D,0.8994565,0.7394767,0.3694477,0.0,0.6264493,0.9022914,0.92391306,0.92391306,0.90436,0.92391306,0.5719448,0.59377205
E,0.5643116,0.23957372,0.2599099,0.6264493,0.0,0.60833335,1.0,0.97619045,0.43834576,0.95315313,0.059534535,0.049624626
F,0.3668625,0.4812383,0.727027,0.9022914,0.60833335,0.0,1.0,0.9046332,0.2822135,0.82972974,0.64594597,0.64324325
H,1.0,0.99168974,1.0,0.92391306,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
K,0.9918478,0.9861496,0.9972973,0.92391306,0.97619045,0.9046332,1.0,0.0,0.98727053,0.338417,1.0,1.0
L,0.13810116,0.28206873,0.6184509,0.90436,0.43834576,0.2822135,1.0,0.98727053,0.0,0.9529669,0.48133776,0.47329006
M,0.9810223,0.9697312,0.9864865,0.92391306,0.95315313,0.82972974,1.0,0.338417,0.9529669,0.0,0.9837838,0.9891892
U,0.5992215,0.26967883,0.2054054,0.5719448,0.059534535,0.64594597,1.0,1.0,0.48133776,0.9837838,0.0,0.035135135
V,0.5966657,0.2534626,0.23243243,0.59377205,0.049624626,0.64324325,1.0,1.0,0.47329006,0.9891892,0.035135135,0.0
