count,mean,std,median,min,q05,q25,q75,q95,max,iqr,sensor
368,42.1467399597168,7.138017654418945,41.0,21.0,34.0,39.0,45.0,50.0,90.0,6.0,A
361,48.54570770263672,11.570032119750977,48.0,-1.0,34.0,41.0,53.0,68.0,96.0,12.0,B
370,61.599998474121094,14.854865074157715,61.0,22.0,39.45,50.0,73.0,86.0,96.0,23.0,C
368,65.24456787109375,20.179357528686523,70.0,-1.0,-1.0,65.0,75.0,80.0,108.0,10.0,D
360,53.0444450378418,12.571935653686523,52.0,20.0,32.95,44.0,61.0,74.0,91.0,17.0,E
370,36.73783874511719,8.588422775268555,37.0,17.0,22.0,31.0,42.0,50.0,71.0,11.0,F
205,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,H
140,21.457143783569336,1.2499796152114868,21.0,19.0,20.0,21.0,22.0,24.0,26.0,1.0,K
358,42.036312103271484,7.011269569396973,42.0,24.0,31.85,37.0,47.0,53.14999999999998,61.0,10.0,L
370,22.329729080200195,2.9772894382476807,23.0,13.0,17.0,21.0,24.0,27.0,36.0,3.0,M
370,55.34054183959961,13.114989280700684,54.0,28.0,35.45,46.0,63.0,81.0,96.0,17.0,U
370,54.716217041015625,12.331371307373047,53.5,30.0,37.0,46.0,62.0,78.0,94.0,16.0,V
